year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Emory Valley|9,Melody Shekari,shekari,US House,3,FALSE,democratic,total,762,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Emory Valley|9,Rick Tyler,tyler,US House,3,FALSE,independent,total,22,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Fairview|10,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,505,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Fairview|10,Topher Kersting,kersting,US House,3,FALSE,independent,total,5,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Fairview|10,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,16,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Fairview|10,Melody Shekari,shekari,US House,3,FALSE,democratic,total,97,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Fairview|10,Rick Tyler,tyler,US House,3,FALSE,independent,total,12,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glen Alpine|11,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,1074,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glen Alpine|11,Topher Kersting,kersting,US House,3,FALSE,independent,total,14,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glen Alpine|11,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,38,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glen Alpine|11,Melody Shekari,shekari,US House,3,FALSE,democratic,total,293,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glen Alpine|11,Rick Tyler,tyler,US House,3,FALSE,independent,total,20,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glenwood|12,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,775,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glenwood|12,Topher Kersting,kersting,US House,3,FALSE,independent,total,28,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glenwood|12,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,41,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glenwood|12,Melody Shekari,shekari,US House,3,FALSE,democratic,total,551,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Glenwood|12,Rick Tyler,tyler,US House,3,FALSE,independent,total,21,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Hendrix Creek|13,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,996,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Hendrix Creek|13,Topher Kersting,kersting,US House,3,FALSE,independent,total,21,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Hendrix Creek|13,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,35,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Hendrix Creek|13,Melody Shekari,shekari,US House,3,FALSE,democratic,total,633,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Hendrix Creek|13,Rick Tyler,tyler,US House,3,FALSE,independent,total,14,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Highland View|14,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,303,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Highland View|14,Topher Kersting,kersting,US House,3,FALSE,independent,total,4,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Highland View|14,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,26,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Highland View|14,Melody Shekari,shekari,US House,3,FALSE,democratic,total,243,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Highland View|14,Rick Tyler,tyler,US House,3,FALSE,independent,total,15,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Lake City MS|15,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,1086,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Lake City MS|15,Topher Kersting,kersting,US House,3,FALSE,independent,total,11,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Lake City MS|15,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,26,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Lake City MS|15,Melody Shekari,shekari,US House,3,FALSE,democratic,total,229,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Lake City MS|15,Rick Tyler,tyler,US House,3,FALSE,independent,total,39,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Marlow|16,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,441,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Marlow|16,Topher Kersting,kersting,US House,3,FALSE,independent,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Marlow|16,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,22,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Marlow|16,Melody Shekari,shekari,US House,3,FALSE,democratic,total,97,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Marlow|16,Rick Tyler,tyler,US House,3,FALSE,independent,total,12,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,North Clinton|17,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,742,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,North Clinton|17,Topher Kersting,kersting,US House,3,FALSE,independent,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,North Clinton|17,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,28,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,North Clinton|17,Melody Shekari,shekari,US House,3,FALSE,democratic,total,222,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,North Clinton|17,Rick Tyler,tyler,US House,3,FALSE,independent,total,21,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norris|18,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,449,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norris|18,Topher Kersting,kersting,US House,3,FALSE,independent,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norris|18,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,15,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norris|18,Melody Shekari,shekari,US House,3,FALSE,democratic,total,310,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norris|18,Rick Tyler,tyler,US House,3,FALSE,independent,total,13,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norwood|19,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,844,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norwood|19,Topher Kersting,kersting,US House,3,FALSE,independent,total,16,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norwood|19,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,44,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norwood|19,Melody Shekari,shekari,US House,3,FALSE,democratic,total,228,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Norwood|19,Rick Tyler,tyler,US House,3,FALSE,independent,total,34,,,,,,,,,,,,,,,
